"PLAYGROUND_ID","NAME","ID","PLAYGROUND_TYPE","DIVISION_NAME","LOCATION_DESCRIPTION","PLAYAREA_COUNT","UPGRADE_YEAR","PARKING","USAGE","SHADE_LEVEL","TREES","BALANCE","BRIDGE","BAR","CLIMBER","COMBINATION_UNIT","CUBBY","EXERCISE_ELEMENT","FLYING_FOX","FORT","GOAL","PANAL","ROCKER","ROTATION","SAND_ELEMENT","SCULPTURE","SLIDE","SOUND","SWING","TRACK_GLIDE","VEHICLE","TOTAL_STRUCTURES","COMMENTS","FEATURE_TYPE","CGDMGA_PLAYGROUND_AREA","PERIMETER","FEATURE_TYPE_CODE","CREATE_DATE","FEATURE_INSTANCE_METADATA_ID","OBJECTID","NATURAL_ELEMENT","GEOMETRY1_AREA","GEOMETRY1_LEN","OBJECTID_1","area","long","lat","OBJECT","sail_shade","tree_shade","shelter_shade"
379,"TELOPEA DISTRICT PARK","PLGR195","DISTRICT","BARTON","TELOPEA PARK",0,2002,"CARPARK","","GOOD","SHELTER TO THE WEST AND LARGE TREES",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,"PLAY GROUND",1277.05918750037,281.545456389366,20,"2005/11/24 16:50:58+00",NA,727653,0,0,0,1,1.26554940018371e-07,149.137311649414,-35.3150861690761,"Playground","NO","YES","YES"
251,"FENTON STREET NEIGHBOURHOOD PLAYGROUND","PLGR6","LOCAL NEIGHBOURHOOD","DOWNER","FENTON STREET NEIGHBOURHOOD PARK",0,1990,"NONE","","FAIR","MEDIUM TREES NORTH AND SOUTH",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,"PLAY GROUND",174.504112500098,50.0577787505355,20,"2005/11/24 16:51:16+00",NA,727654,0,0,0,2,1.72779692785316e-08,149.140854977022,-35.2427100262553,"Playground","NO","YES","NO"
270,"BANAMBILA STREET NEIGHBOURHOOD PLAYGROUND","PLGR87","LOCAL NEIGHBOURHOOD","ARANDA","BANAMBILA STREET PEDESTRIAN PARKLAND",0,1990,"NONE","","FAIR","LARGE TREE EAST OF PLAY AREA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,"PLAY GROUND",216.885162500038,56.4415307748442,20,"2005/11/24 16:51:17+00",NA,727655,0,0,0,3,2.14771927258079e-08,149.080869240375,-35.254339085593,"Playground","NO","YES","NO"
284,"KESTEVEN STREET CENTRAL COMMUNITY PLAYGROUND","PLGR89","CENTRAL COMMUNITY","FLOREY","KESTEVEN STREET FLOREY SHOPPING CENTRE",0,1990,"CARPARK","","FAIR","MEDIUM TREES",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,"PLAY GROUND",234.230725000111,56.5204365279792,20,"2005/11/24 16:51:17+00",NA,727656,0,0,0,4,2.31871252994244e-08,149.054616073562,-35.226587903243,"Playground","NO","YES","NO"
285,"TATTERSALL CRESCENT NEIGHBOURHOD PLAYGROUND","PLGR90","LOCAL NEIGHBOURHOOD","FLOREY","TATTERSALL CRESCENT NEIGHBOURHOOD PARK",0,1990,"CARPARK","","FAIR","MEDIUM TREES AROUND PLAYGROUND",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,"PLAY GROUND",219.96073750033,52.692253960006,20,"2005/11/24 16:51:17+00",NA,727657,0,0,0,5,2.17737433569135e-08,149.057101247241,-35.2236586470111,"Playground","NO","YES","NO"
271,"HEWLETT CIRCUIT NEIGHBOURHOOD PLAYGROUND","PLGR91","LOCAL NEIGHBOURHOOD","FLOREY","HEWLETT CIRCUIT NEIGHBOURHOOD PARK",0,1995,"NONE","","FAIR","LARGE TREE TO THE NORTH",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,"PLAY GROUND",244.466949999954,60.6761599131286,20,"2005/11/24 16:51:18+00",NA,727658,0,0,0,6,2.41995913289436e-08,149.047600652168,-35.2237095181694,"Playground","NO","YES","NO"
303,"MEYRICK PLACE NEIGHBOURHOOD PLAYGROUND","PLGR93","LOCAL NEIGHBOURHOOD","FLOREY","MEYRICK PLACE NEIGHBOURHOOD PARK",0,2004,"NONE","","FAIR","MEDIUM TREES SOUTH",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,"PLAY GROUND",260.263299999717,58.5112582252137,20,"2005/11/24 16:51:18+00",NA,727659,0,0,0,7,2.57657384354244e-08,149.052155304363,-35.2316807896949,"Playground","NO","YES","NO"
304,"O""""""""SULLIVAN STREET NEIGHBOURHOOD PLAYGGROUND","PLGR94","LOCAL NEIGHBOURHOOD","HIGGINS","O""""""""SULLIVAN STREET NEIGHBOURHOOD PARK",0,1985,"NONE","","GOOD","LARGE TREES AROUND PLAY AREAS",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,"PLAY GROUND",140.128037500226,61.2852914944811,20,"2005/11/24 16:51:18+00",NA,727660,0,0,0,8,1.38734209184417e-08,149.029130261574,-35.236951555049,"Playground","NO","YES","NO"
283,"BERRY STREET NEIGHBOURHOOD PLAYGROUND","PLGR7","LOCAL NEIGHBOURHOOD","DOWNER","BERRY STREET NEIGHBOURHOOD PARK",0,1995,"NONE","","POOR","SHRUBS NORTH OF PLAY AREA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,"PLAY GROUND",353.671837499893,70.4961586780144,20,"2005/11/24 16:51:16+00",NA,727661,0,0,0,9,3.50192578359026e-08,149.138523217907,-35.2464990274334,"Playground","NO","NO","NO"
305,"HUDSON STREET NEIGHBOURHOOD PLAYGROUND","PLGR96","LOCAL NEIGHBOURHOOD","HIGGINS","HUDSON STREET NEIGHBOURHOOD PARK",0,1985,"NONE","","GOOD","LARGE TREES AROUND PLAY AREA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,"PLAY GROUND",194.820124999512,56.1690063813949,20,"2005/11/24 16:51:18+00",NA,727662,0,0,0,10,1.92861150770556e-08,149.030101108775,-35.2280649847383,"Playground","NO","YES","NO"
